,交易類別,交易型態,mcc_code,交易金額-台幣,網路交易註記,是否紅利交易,消費城市,狀態碼,超額註記碼,Fallback註記,支付型態,消費地幣別,消費地金額,3D交易註記,盜刷與否,分期期數_指示,消費地國別_指示,日期區段,時間區段
交易類別,1.0,0.2790343247854475,-0.01868651933469143,-0.011700356526601221,0.19975052315830183,0.009545608892458918,-0.05996478815279482,0.00400637249011474,0.009285040578366712,0.0034813105038305737,-0.025876689072715415,0.016482825217330715,-0.0003724181192785835,0.06545646631958674,0.0034344541523440406,-0.007193348031945883,0.0009513120425736835,0.00080398786338621,0.03746628634472607
交易型態,0.2790343247854475,1.0,-0.05001419542963502,-0.04777820386284977,0.5203501277319608,0.012440841623616018,-0.003087264509999533,0.010913690931971603,0.0010709582059198486,0.03281521985141694,-0.022847110523608834,-0.0048967950775018745,-0.005568290889005506,0.2129321401244163,0.01130914281856285,0.01136049193869256,-0.0417322267961689,-0.00791576896973644,0.02936075905121939
mcc_code,-0.01868651933469143,-0.05001419542963502,1.0,0.04083827068525146,0.016087063978964717,-0.020266666775800947,0.005048864678237772,0.01830434603627019,0.0074676786231689905,0.0005485772937343941,0.07742743121263788,-0.005526944145360375,0.004704978819488334,-0.058619200541721,0.02515640971562316,0.028092822754347952,-0.07890402514614417,-0.011726212618180208,-0.05778683538896327
交易金額-台幣,-0.011700356526601221,-0.04777820386284977,0.04083827068525146,1.0,-0.05127980527930978,0.008484938821409466,0.011987400726901165,0.02404290037750093,0.04203659242951336,0.006094801477336705,0.026256954709219675,-0.009243739478408534,0.09744666978848444,0.0234430033122265,0.022572460108245703,-0.12464194722350885,0.002008265833099542,0.002172877652125198,-0.011358169713429763
網路交易註記,0.19975052315830183,0.5203501277319608,0.016087063978964717,-0.05127980527930978,1.0,0.010690019914264857,-0.17377922610872734,0.030760036324129207,0.00807034745136559,-0.022496064233851046,0.14350644315606995,-0.02382521226592075,-0.0064723653956345675,0.25331869992671463,0.0351493386393683,0.019196508040768636,-0.18147439305462704,-0.003085479297233579,-0.03790437228451785
是否紅利交易,0.009545608892458918,0.012440841623616018,-0.020266666775800947,0.008484938821409466,0.010690019914264857,1.0,0.013319191960247759,-0.001686446598719014,-0.0010543708214230865,0.0006278414308667563,0.02861493687933807,0.003026514481380464,0.00059754209076195,0.0008028040441136911,-0.0022346297282360983,-0.03712662005051975,0.012250325064603955,0.0022893100804943596,-0.0010442204992479368
消費城市,-0.05996478815279482,-0.003087264509999533,0.005048864678237772,0.011987400726901165,-0.17377922610872734,0.013319191960247759,1.0,-0.07037557601212859,-0.018285701920821282,0.003918284171971363,0.008818141504000928,0.0576478119880762,-0.0030410276053979644,0.08269282865988399,-0.07754764210899504,-0.017993314703202156,0.3056983926642688,0.11477618666982752,0.004281855662040545
狀態碼,0.00400637249011474,0.010913690931971603,0.01830434603627019,0.02404290037750093,0.030760036324129207,-0.001686446598719014,-0.07037557601212859,1.0,0.03001556040428444,0.011734765885167985,0.009070454346477371,-0.07077896510773787,0.013694404328851535,-0.005744978640771801,0.40095451770955265,0.005114094000157968,-0.14670078670986494,0.0043109639723503505,-0.012290999055836619
超額註記碼,0.009285040578366712,0.0010709582059198486,0.0074676786231689905,0.04203659242951336,0.00807034745136559,-0.0010543708214230865,-0.018285701920821282,0.03001556040428444,1.0,-0.00013709779014438203,-1.7331148857594444e-05,-0.004943034456320335,0.011735062126251335,0.0016377069180357696,0.0167963001839944,-0.004442506486217342,-0.025811540663528594,-0.0006014142367916658,-0.0040230506448143185
Fallback註記,0.0034813105038305737,0.03281521985141694,0.0005485772937343941,0.006094801477336705,-0.022496064233851046,0.0006278414308667563,0.003918284171971363,0.011734765885167985,-0.00013709779014438203,1.0,0.008380201149481821,-0.0005612334987441487,0.0010060630145686806,-0.005698673745188365,-0.0003530480442058116,-0.004315604403643338,0.004187486423940472,-0.0009632805842326754,0.0011640134091258044
支付型態,-0.025876689072715415,-0.022847110523608834,0.07742743121263788,0.026256954709219675,0.14350644315606995,0.02861493687933807,0.008818141504000928,0.009070454346477371,-1.7331148857594444e-05,0.008380201149481821,1.0,-0.017314080397750755,0.0033347350162375427,-0.04435086861452376,0.014476440042193606,-0.02525779393475481,0.032222142929158655,-0.0030992607669007273,-0.029744467196692118
消費地幣別,0.016482825217330715,-0.0048967950775018745,-0.005526944145360375,-0.009243739478408534,-0.02382521226592075,0.003026514481380464,0.0576478119880762,-0.07077896510773787,-0.004943034456320335,-0.0005612334987441487,-0.017314080397750755,1.0,-0.019773352280501533,0.002997032896188578,-0.06090702493334076,-0.008771276532618026,0.24705585079738204,-0.005914372244055567,0.004732235953979606
消費地金額,-0.0003724181192785835,-0.005568290889005506,0.004704978819488334,0.09744666978848444,-0.0064723653956345675,0.00059754209076195,-0.0030410276053979644,0.013694404328851535,0.011735062126251335,0.0010060630145686806,0.0033347350162375427,-0.019773352280501533,1.0,0.003237636346846672,0.015416652308278678,-0.010519144715459795,-0.011879119700045735,0.0015377258878871874,-0.0012802573327174711
3D交易註記,0.06545646631958674,0.2129321401244163,-0.058619200541721,0.0234430033122265,0.25331869992671463,0.0008028040441136911,0.08269282865988399,-0.005744978640771801,0.0016377069180357696,-0.005698673745188365,-0.04435086861452376,0.002997032896188578,0.003237636346846672,1.0,-0.014030312893109085,-0.07497063653958552,0.05850959315250126,0.0003717434360209018,0.012376045481020895
盜刷與否,0.0034344541523440406,0.01130914281856285,0.02515640971562316,0.022572460108245703,0.0351493386393683,-0.0022346297282360983,-0.07754764210899504,0.40095451770955265,0.0167963001839944,-0.0003530480442058116,0.014476440042193606,-0.06090702493334076,0.015416652308278678,-0.014030312893109085,1.0,0.0063696712642415,-0.17171611877210843,0.0034914416269912823,-0.007009724948693434
分期期數_指示,-0.007193348031945883,0.01136049193869256,0.028092822754347952,-0.12464194722350885,0.019196508040768636,-0.03712662005051975,-0.017993314703202156,0.005114094000157968,-0.004442506486217342,-0.004315604403643338,-0.02525779393475481,-0.008771276532618026,-0.010519144715459795,-0.07497063653958552,0.0063696712642415,1.0,-0.035503213157293476,-0.003307823516499629,-0.01605858978357908
消費地國別_指示,0.0009513120425736835,-0.0417322267961689,-0.07890402514614417,0.002008265833099542,-0.18147439305462704,0.012250325064603955,0.3056983926642688,-0.14670078670986494,-0.025811540663528594,0.004187486423940472,0.032222142929158655,0.24705585079738204,-0.011879119700045735,0.05850959315250126,-0.17171611877210843,-0.035503213157293476,1.0,-0.009930944712899804,0.048064296092151175
日期區段,0.00080398786338621,-0.00791576896973644,-0.011726212618180208,0.002172877652125198,-0.003085479297233579,0.0022893100804943596,0.11477618666982752,0.0043109639723503505,-0.0006014142367916658,-0.0009632805842326754,-0.0030992607669007273,-0.005914372244055567,0.0015377258878871874,0.0003717434360209018,0.0034914416269912823,-0.003307823516499629,-0.009930944712899804,1.0,0.00495817145719245
時間區段,0.03746628634472607,0.02936075905121939,-0.05778683538896327,-0.011358169713429763,-0.03790437228451785,-0.0010442204992479368,0.004281855662040545,-0.012290999055836619,-0.0040230506448143185,0.0011640134091258044,-0.029744467196692118,0.004732235953979606,-0.0012802573327174711,0.012376045481020895,-0.007009724948693434,-0.01605858978357908,0.048064296092151175,0.00495817145719245,1.0
